id,abbr,name,publisher,url,rank,type,category
284,G,GeoInformatica,Springer,http://dblp.uni-trier.de/db/journals/geoinformatica/,B,Journal,软工
285,IPM,Information Processing and Management,Elsevier,http://dblp.uni-trier.de/db/journals/ipm/,B,Journal,软工
286,IS,Information Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/isci/,B,Journal,软工
287,IS,Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/is/,B,Journal,数据库
288,JASIST,Journal of the American Society for Information Science and Technology,American Society for Information Science and Technology,http://dblp.uni-trier.de/db/journals/jasis/,B,Journal,数据库
289,JWS,Journal of Web Semantics,Elsevier,http://dblp.uni-trier.de/db/journals/ws/,B,Journal,数据库
290,KAIS,Knowledge and Information Systems,Springer,http://dblp.uni-trier.de/db/journals/kais/,B,Journal,数据库
291,DPD,Distributed and Parallel Databases,Springer,http://dblp.uni-trier.de/db/journals/dpd/,C,Journal,数据库
292,I&M,Information and Management,Elsevier,http://dblp.uni-trier.de/db/journals/iam/,C,Journal,数据库
293,IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/,C,Journal,数据库
294,IR,Information Retrieval Journal,Springer,http://dblp.uni-trier.de/db/journals/ir/,C,Journal,数据库
295,IJCIS,International Journal of Cooperative Information Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijcis/,C,Journal,数据库
296,IJGIS,International Journal of Geographical Information Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/gis/,C,Journal,数据库
297,IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/,C,Journal,数据库
298,IJKM,International Journal of Knowledge Management,IGI,http://dblp.uni-trier.de/db/journals/ijkm/,C,Journal,数据库
299,IJSWIS,International Journal on Semantic Web and Information Systems,IGI,http://dblp.uni-trier.de/db/journals/ijswis/,C,Journal,数据库
300,JCIS,Journal of Computer Information Systems,IACIS,http://dblp.uni-trier.de/db/journals/jcis/,C,Journal,数据库
301,JDM,Journal of Database Management,IGI-Global,http://dblp.uni-trier.de/db/journals/jdm/,C,Journal,数据库
302,JGITM,Journal of Global Information Technology Management,Ivy League Publishing,http://www.tandfonline.com/loi/ugit20#.Vnv35pN97rI,C,Journal,数据库
303,JIIS,Journal of Intelligent Information Systems,Springer,http://dblp.uni-trier.de/db/journals/jiis/,C,Journal,数据库
304,JSIS,Journal of Strategic Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/jsis/,C,Journal,数据库
305,SIGMOD,ACM Conference on Management of Data,ACM,http://dblp.uni-trier.de/db/conf/sigmod/,A,Conference,数据库
306,SIGKDD,ACM Knowledge Discovery and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/kdd/,A,Conference,数据库
307,ICDEIEEE,International Conference on Data Engineering,IEEE,http://dblp.uni-trier.de/db/conf/icde/,A,Conference,数据库
308,SIGIR,International Conference on Research on Development in Information Retrieval,ACM,http://dblp.uni-trier.de/db/conf/sigir/,A,Conference,数据库
309,VLDB,International Conference on Very Large Data Bases,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/vldb/,A,Conference,数据库
310,CIKM,ACM International Conference on Information and Knowledge Management,ACM,http://dblp.uni-trier.de/db/conf/cikm/,B,Conference,数据库
311,WSDM,ACM International Conference on Web Search and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/wsdm/,B,Conference,数据库
312,PODS,ACM Symposium on Principles of Database Systems,ACM,http://dblp.uni-trier.de/db/conf/pods/,B,Conference,数据库
313,DASFAA,Database Systems for Advanced Applications,Springer,http://dblp.uni-trier.de/db/conf/dasfaa/,B,Conference,数据库
314,ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Springer,http://dblp.uni-trier.de/db/conf/ecml/,B,Conference,数据库
315,ISWC,IEEEInternational Semantic Web Conference,IEEE,http://dblp.uni-trier.de/db/conf/semweb/,B,Conference,数据库
316,ICDM,International Conference on Data Mining,IEEE,http://dblp.uni-trier.de/db/conf/icdm/,B,Conference,数据库
317,ICDT,International Conference on Database Theory,Springer,http://dblp.uni-trier.de/db/conf/icdt/,B,Conference,数据库
318,EDBT,International Conference on Extending DB Technology,Springer,http://dblp.uni-trier.de/db/conf/edbt/,B,Conference,数据库
319,CIDR,International Conference on Innovative Data Systems Research,Online Proceeding,http://dblp.uni-trier.de/db/conf/cidr/,B,Conference,数据库
320,SDM,SIAM International Conference on Data Mining, SIAM,http://dblp.uni-trier.de/db/conf/sdm/,B,Conference,数据库
321,APWeb,Asia Pacific Web Conference,Springer,http://dblp.uni-trier.de/db/conf/apweb/,C,Conference,数据库
322,DEXA,Database and Expert System Applications,Springer,http://dblp.uni-trier.de/db/conf/dexa/,C,Conference,数据库
323,ECIR,European Conference on IR Research,Springer,http://dblp.uni-trier.de/db/conf/ecir/,C,Conference,数据库
324,ESWC,Extended Semantic Web Conference,Elsevier,http://dblp.uni-trier.de/db/conf/esws/,C,Conference,数据库
325,WebDB,International ACM Workshop on Web and Databases,ACM,http://dblp.uni-trier.de/db/conf/webdb/,C,Conference,数据库
326,ER,International Conference on Conceptual Modeling,Springer,http://dblp.uni-trier.de/db/conf/er/,C,Conference,数据库
327,MDM,International Conference on Mobile Data Management,IEEE,http://dblp.uni-trier.de/db/conf/mdm/,C,Conference,数据库
328,SSDBM,International Conference on Scientific and Statistical DB Management,IEEE,http://dblp.uni-trier.de/db/conf/ssdbm/,C,Conference,数据库
329,WAIM,International Conference on Web Age Information Management,Springer,http://dblp.uni-trier.de/db/conf/waim/,C,Conference,数据库
330,SSTD,International Symposium on Spatial and Temporal Databases,Springer,http://dblp.uni-trier.de/db/conf/ssd/,C,Conference,数据库
331,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Springer,http://dblp.uni-trier.de/db/conf/pakdd/,C,Conference,数据库
332,WISE,Web Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/wise/,C,Conference,数据库
333,TIT,IEEE Transactions on Information Theory,IEEE,http://dblp.uni-trier.de/db/journals/tit/,A,Journal,计科理论
334,IANDC,Information and Computation,Elsevier,http://dblp.uni-trier.de/db/journals/iandc/,A,Journal,计科理论
335,SICOMP,SIAM Journal on Computing,SIAM,http://dblp.uni-trier.de/db/journals/siamcomp/,A,Journal,计科理论
336,TALG,ACM Transactions on Algorithms,ACM,http://dblp.uni-trier.de/db/journals/talg/,B,Journal,计科理论
337,TOCL,ACM Transactions on Computational Logic,ACM,http://dblp.uni-trier.de/db/journals/tocl/,B,Journal,计科理论
338,TOMS,ACM Transactions on Mathematical Software,ACM,http://dblp.uni-trier.de/db/journals/toms/,B,Journal,计科理论
339,Algorithmica,Algorithmica,Springer,http://dblp.uni-trier.de/db/journals/algorithmica/,B,Journal,计科理论
340,CC,Computational complexity,Springer,http://dblp.uni-trier.de/db/journals/cc/,B,Journal,计科理论
341,FAC,Formal Aspects of Computing,Springer,http://dblp.uni-trier.de/db/journals/fac/,B,Journal,计科理论
342,FMSD,Formal Methods in System Design,Springer,http://dblp.uni-trier.de/db/journals/fmsd/,B,Journal,计科理论
343,INFORMS,INFORMS Journal on Computing,INFORMS,http://dblp.uni-trier.de/db/journals/informs/,B,Journal,计科理论
344,JCSS,Journal of Computer and System Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/jcss/,B,Journal,计科理论
345,JGO,Journal of Global Optimization,Springer,http://dblp.uni-trier.de/db/journals/jgo/,B,Journal,计科理论
346,JSC,Journal of Symbolic Computation,Elsevier,http://dblp.uni-trier.de/db/journals/jsc/,B,Journal,计科理论
347,MSCS,Mathematical Structures in Computer Science,Cambridge University Press,http://dblp.uni-trier.de/db/journals/mscs/,B,Journal,计科理论
348,TCS,Theoretical Computer Science,Elsevier,http://dblp.uni-trier.de/db/journals/tcs/,B,Journal,计科理论
349,ACTA,Acta Informatica,Springer,http://dblp.uni-trier.de/db/journals/acta/,C,Journal,计科理论
350,APAL,Annals of Pure and Applied Logic,Elsevier,http://dblp.uni-trier.de/db/journals/apal/,C,Journal,计科理论
351,DAM,Discrete Applied Mathematics,Elsevier,http://dblp.uni-trier.de/db/journals/dam/,C,Journal,计科理论
352,FUIN,Fundamenta Informaticae,IOS Press,http://dblp.uni-trier.de/db/journals/fuin/,C,Journal,计科理论
353,LISP,Higher-Order and Symbolic Computation,Springer,http://dblp.uni-trier.de/db/journals/lisp/,C,Journal,计科理论
354,IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/,C,Journal,计科理论
355,JCOMPLEXITY,Journal of Complexity,Elsevier,http://dblp.uni-trier.de/db/journals/jc/,C,Journal,计科理论
356,LOGCOM,Journal of Logic and Computation,Oxford University Press,http://dblp.uni-trier.de/db/journals/logcom/,C,Journal,计科理论
357,JSL,Journal of Symbolic Logic,Association for Symbolic Logic,http://dblp.uni-trier.de/db/journals/jsyml/,C,Journal,计科理论
358,LMCS,Logical Methods in Computer Science,LMCS,http://dblp.uni-trier.de/db/journals/lmcs/,C,Journal,计科理论
359,SIDMA,SIAM Journal on Discrete Mathematics,SIAM,http://dblp.uni-trier.de/db/journals/siamdm/,C,Journal,计科理论
360,TOCS,Theory of Computing Systems,Springer,http://dblp.uni-trier.de/db/journals/mst/,C,Journal,计科理论
361,STOC,ACM Symposium on Theory of Computing,ACM,http://dblp.uni-trier.de/db/conf/stoc/,A,Conference,计科理论
362,SODA,ACM-SIAM Symposium on Discrete Algorithms,SIAM,http://dblp.uni-trier.de/db/conf/soda/,A,Conference,计科理论
363,CAV,Computer Aided Verification,Springer,http://dblp.uni-trier.de/db/conf/cav/,A,Conference,计科理论
364,FOCS,IEEE Annual Symposium on Foundations of Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/focs/,A,Conference,计科理论
365,LICS,IEEE Symposium on Logic in Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/lics/,A,Conference,计科理论
366,SoCG,ACM Symposium on Computational Geometry,ACM,http://dblp.uni-trier.de/db/conf/compgeom/,B,Conference,计科理论
367,ESA,European Symposium on Algorithms,Springer,http://dblp.uni-trier.de/db/conf/esa/,B,Conference,计科理论
368,CCC,IEEE Conference on Computational Complexity,IEEE,http://dblp.uni-trier.de/db/conf/coco/,B,Conference,计科理论
369,ICALP,"International Colloquium on Automata, Languages and Programming",Springer,http://dblp.uni-trier.de/db/conf/icalp/,B,Conference,计科理论
370,CADE-IJCAR,International Conference on Automated Deduction/International Joint Conference on Automated Reasoning,Springer,http://dblp.uni-trier.de/db/conf/cade/,B,Conference,计科理论
371,CONCUR,International Conference on Concurrency Theory,Springer,http://dblp.uni-trier.de/db/conf/concur/,B,Conference,计科理论
372,HSCC,International Conference on Hybrid Systems: Computation and Control,Springer and ACM,http://dblp.uni-trier.de/db/conf/hybrid/,B,Conference,计科理论
373,SAT,Theory and Applications of Satisfiability Testing,Springer,http://dblp.uni-trier.de/db/conf/sat/,B,Conference,计科理论
374,CSL,Computer Science Logic,Springer,http://dblp.uni-trier.de/db/conf/csl/,C,Conference,计科理论
375,FMCAD,Formal Method in Computer-Aided Design,ACM,http://dblp.uni-trier.de/db/conf/fmcad/,C,Conference,计科理论
376,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Indian Association for Research in Computing Science,http://dblp.uni-trier.de/db/conf/fsttcs/,C,Conference,计科理论
377,DSAA,IEEE International Conference on Data Science and Advanced Analytics,​IEEE,https://dblp.uni-trier.de/db/conf/dsaa/,C,Conference,计科理论
378,ICTAC,International Colloquium on Theoretical Aspects of Computing,Springer,http://dblp.uni-trier.de/db/conf/ictac/,C,Conference,计科理论
379,IPCO,International Conference on Integer Programming and Combinatorial Optimization,Springer,http://dblp.uni-trier.de/db/conf/ipco/,C,Conference,计科理论
380,RTA,International Conference on Rewriting Techniques and Applications,Springer,http://dblp.uni-trier.de/db/conf/rta/,C,Conference,计科理论
381,ISAAC,International Symposium on Algorithms and Computation,Springer,http://dblp.uni-trier.de/db/conf/isaac/,C,Conference,计科理论
382,MFCS,Mathematical Foundations of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/mfcs/,C,Conference,计科理论
383,STACS,Symposium on Theoretical Aspects of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/stacs/,C,Conference,计科理论
384,TOG,ACM Transactions on Graphics,ACM,http://dblp.uni-trier.de/db/journals/tog/,A,Journal,图形学
385,TIP,IEEE Transactions on Image Processing,IEEE,http://dblp.uni-trier.de/db/journals/tip/,A,Journal,图形学
386,TVCG,IEEE Transactions on Visualization and Computer Graphics,IEEE,http://dblp.uni-trier.de/db/journals/tvcg/,A,Journal,图形学
387,TOMCCAP,"ACM Transactions on Multimedia Computing,Communications and Application",ACM,http://dblp.uni-trier.de/db/journals/tomccap/,B,Journal,图形学
388,CAGD,Computer Aided Geometric Design,Elsevier,http://dblp.uni-trier.de/db/journals/cagd/,B,Journal,图形学
389,CGF,Computer Graphics Forum,Wiley,http://dblp.uni-trier.de/db/journals/cgf/,B,Journal,图形学
390,CAD,Computer-Aided Design,Elsevier,http://dblp.uni-trier.de/db/journals/cad/,B,Journal,图形学
391,GM,Graphical Models,Elsevier,http://dblp.uni-trier.de/db/journals/cvgip/,B,Journal,图形学
392,TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,IEEE,http://dblp.uni-trier.de/db/journals/tcsv/,B,Journal,图形学
393,TMM,IEEE Transactions on Multimedia,IEEE,http://dblp.uni-trier.de/db/journals/tmm/,B,Journal,图形学
394,JASA,Journal of The Acoustical Society of America,AIP,http://scitation.aip.org/content/asa/journal/jasa,B,Journal,图形学
395,SIIMS,SIAM Journal on Imaging Sciences,SIAM,http://dblp.uni-trier.de/db/journals/siamis/,B,Journal,图形学
396,Speech Com,Speech Communication,Elsevier,http://dblp.uni-trier.de/db/journals/speech/,B,Journal,图形学
397,CGTA,Computational Geometry: Theory and Applications,Elsevier,http://dblp.uni-trier.de/db/journals/comgeo/,C,Journal,图形学
398,CAVW,Computer Animation and Virtual Worlds,Wiley,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1546-427X,C,Journal,图形学
399,C&G,Computers & Graphics,Elsevier,http://dblp.uni-trier.de/db/journals/cg/,C,Journal,图形学
400,DCG,Discrete & Computational Geometry,Springer,http://dblp.uni-trier.de/db/journals/dcg/,C,Journal,图形学
401,SPL,IEEE Signal Processing Letters,IEEE,http://dblp.uni-trier.de/db/journals/spl/,C,Journal,图形学
402,IET-IPR,IET Image Processing,IET,http://dblp.uni-trier.de/db/journals/iet-ipr/,C,Journal,图形学
403,JVCIR,Journal of Visual Communication and Image Representation,Elsevier,http://dblp.uni-trier.de/db/journals/jvcir/,C,Journal,图形学
404,MS,Multimedia Systems,Springer,http://dblp.uni-trier.de/db/journals/mms/,C,Journal,图形学
405,MTA,Multimedia Tools and Applications,Springer,http://dblp.uni-trier.de/db/journals/mta/,C,Journal,图形学
406,SP,Signal Processing,Elsevier,http://dblp.uni-trier.de/db/journals/sigpro/,C,Journal,图形学
407,SPIC,Signal processing : image communication,Elsevier,http://dblp.uni-trier.de/db/journals/spic/,C,Journal,图形学
408,TVC,The Visual Computer,Springer,http://dblp.uni-trier.de/db/journals/vc/,C,Journal,图形学
409,ACM MM,ACM International Conference on Multimedia,ACM,http://dblp.uni-trier.de/db/conf/mm/,A,Conference,图形学
410,SIGGRAPH,ACM SIGGRAPH Annual Conference,ACM,http://dblp.uni-trier.de/db/conf/siggraph/index.html,A,Conference,图形学
411,VR,IEEE Virtual Reality,IEEE,http://dblp.uni-trier.de/db/conf/vr/,A,Conference,图形学
412,IEEE VIS,IEEE Visualization Conference,IEEE,http://dblp.uni-trier.de/db/conf/visualization/index.html,A,Conference,图形学
413,ICMR,ACM SIGMM International Conference on Multimedia Retrieval,ACM,http://dblp.uni-trier.de/db/conf/mir/,B,Conference,图形学
414,SI3D,ACM Symposium on Interactive 3D Graphics,ACM,http://dblp.uni-trier.de/db/conf/si3d/,B,Conference,图形学
415,SCA,ACM/Eurographics Symposium on Computer Animation,ACM,http://dblp.uni-trier.de/db/conf/sca/index.html,B,Conference,图形学
416,DCC,Data Compression Conference,IEEE,http://dblp.uni-trier.de/db/conf/dcc/,B,Conference,图形学
417,EG,Eurographics,Wiley/ Blackwell,http://dblp.uni-trier.de/db/conf/eurographics/,B,Conference,图形学
418,EuroVis,Eurographics Conference on Visualization,ACM,http://dblp.uni-trier.de/db/conf/vissym/,B,Conference,图形学
419,SGP,Eurographics Symposium on Geometry Processing,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/sgp/,B,Conference,图形学
420,EGSR,Eurographics Symposium on Rendering,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/rt/,B,Conference,图形学
421,ICASSP,"IEEE International Conference on Acoustics,Speech and SP",IEEE,http://dblp.uni-trier.de/db/conf/icassp/,B,Conference,图形学
422,ICME,IEEE International Conference on Multimedia& Expo,IEEE,http://dblp.uni-trier.de/db/conf/icmcs/,B,Conference,图形学
423,ISMAR,International Symposium on Mixed and Augmented Reality,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ismar/,B,Conference,图形学
424,PG,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/pg/index.html,B,Conference,图形学
425,SPM,Symposium on Solid and Physical Modeling,SMA/Elsevier,http://dblp.uni-trier.de/db/conf/sma/,B,Conference,图形学
426,ASOVRSAT,ACM Symposium on Virtual Reality Software and Technology,ACM,http://dblp.uni-trier.de/db/conf/vrst/,C,Conference,图形学
427,CASA,Computer Animation and Social Agents,Wiley,http://dblp.uni-trier.de/db/conf/ca/,C,Conference,图形学
428,CGI,Computer Graphics International,Springer,http://dblp.uni-trier.de/db/conf/cgi/,C,Conference,图形学
429,INTERSPEECH,Conference of the International SpeechCommunication Association,,http://dblp.uni-trier.de/db/conf/interspeech/index.html,C,Conference,图形学
430,GMP,Geometric Modeling and Processing,Elsevier,http://dblp.uni-trier.de/db/conf/gmp/,C,Conference,图形学
431,PacificVis,IEEE Pacific Visualization Symposium,IEEE,http://dblp.uni-trier.de/db/conf/apvis/,C,Conference,图形学
432,3DV,International Conference on 3D Vision,IEEE,https://dblp.uni-trier.de/db/conf/3dim/,C,Conference,图形学
433,CAD-Graphics,International Conference on Computer-Aided Design and Computer Graphics,IEEE,https://dblp.uni-trier.de/db/conf/cadgraphics/,C,Conference,图形学
434,ICIP,International Conference on Image Processing,IEEE,http://dblp.uni-trier.de/db/conf/icip/,C,Conference,图形学
435,MMM,International Conference on Multimedia Modeling,Springer,http://dblp.uni-trier.de/db/conf/mmm/index.html,C,Conference,图形学
436,PCM,Pacific-Rim Conference on Multimedia,Springer,http://dblp.uni-trier.de/db/conf/pcm/,C,Conference,图形学
437,SMI,Shape Modeling International,IEEE,http://dblp.uni-trier.de/db/conf/smi/,C,Conference,图形学
438,AI,Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/ai/,A,Journal,人工智能
439,TPAMI,IEEE Trans on Pattern Analysis and Machine Intelligence,IEEE,http://dblp.uni-trier.de/db/journals/pami/,A,Journal,人工智能
440,IJCV,International Journal of Computer Vision,Springer,http://dblp.uni-trier.de/db/journals/ijcv/,A,Journal,人工智能
441,JMLR,Journal of Machine Learning Research,MIT Press,http://dblp.uni-trier.de/db/journals/jmlr/,A,Journal,人工智能
442,TAP,ACM Transactions on Applied Perception,ACM,http://dblp.uni-trier.de/db/journals/tap/,B,Journal,人工智能
443,TSLP,ACM Transactions on Speech and Language Processing,ACM,http://dblp.uni-trier.de/db/journals/tslp/,B,Journal,人工智能
444,AAMAS,Autonomous Agents and Multi-Agent Systems,Springer,http://dblp.uni-trier.de/db/journals/aamas/,B,Journal,人工智能
445,CL,Computational Linguistics,MIT Press,http://dblp.uni-trier.de/db/journals/coling/,B,Journal,人工智能
446,CVIU,Computer Vision and Image Understanding,Elsevier,http://dblp.uni-trier.de/db/journals/cviu/,B,Journal,人工智能
447,DKE,Data and Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/index.html,B,Journal,人工智能
448,EC,Evolutionary Computation,MIT Press,http://dblp.uni-trier.de/db/journals/ec/,B,Journal,人工智能
449,TAC,IEEE Transactions on Affective Computing,IEEE,http://dblp.uni-trier.de/db/journals/taffco/,B,Journal,人工智能
450,TASLP,"IEEE Transactions on Audio, Speech, and Language Processing",IEEE,http://dblp.uni-trier.de/db/journals/taslp/,B,Journal,人工智能
451,ITOC,IEEE Transactions on Cybernetics,IEEE,http://dblp.uni-trier.de/db/journals/tcyb/,B,Journal,人工智能
452,TEC,IEEE Transactions on Evolutionary Computation,IEEE,http://dblp.uni-trier.de/db/journals/tec/,B,Journal,人工智能
453,TFS,IEEE Transactions on Fuzzy Systems,IEEE,http://dblp.uni-trier.de/db/journals/tfs/,B,Journal,人工智能
454,TNNLS,IEEE Transactions on Neural Networks and learning systems,IEEE,http://dblp.uni-trier.de/db/journals/tnn/,B,Journal,人工智能
455,IJAR,International Journal of Approximate Reasoning,Elsevier,http://dblp.uni-trier.de/db/journals/ijar/,B,Journal,人工智能
456,JAIR,Journal of Artificial Intelligence Research,AAAI,http://dblp.uni-trier.de/db/journals/jair/index.html,B,Journal,人工智能
457,JOAR,Journal of Automated Reasoning,Springer,http://dblp.uni-trier.de/db/journals/jar/,B,Journal,人工智能
458,JSLHR,"Journal of Speech, Language, and Hearing Research",American Speech-Language Hearing Association,http://jslhr.pubs.asha.org/,B,Journal,人工智能
459,ML,Machine Learning,Springer,http://dblp.uni-trier.de/db/journals/ml/,B,Journal,人工智能
460,NC,Neural Computation,MIT Press,http://dblp.uni-trier.de/db/journals/neco/,B,Journal,人工智能
461,NN,Neural Networks,Elsevier,http://dblp.uni-trier.de/db/journals/nn/,B,Journal,人工智能
462,PR,Pattern Recognition,Elsevier,https://dblp.uni-trier.de/db/journals/pr/,B,Journal,人工智能
463,TALLIP,ACM Transactions on Asian and Low-Resource Language Information Processing,ACM,http://dblp.uni-trier.de/db/journals/talip/,C,Journal,人工智能
464,AI,Applied Intelligence,Springer,http://dblp.uni-trier.de/db/journals/apin/,C,Journal,人工智能
465,AIM,Artificial Intelligence in Medicine,Elsevier,http://dblp.uni-trier.de/db/journals/artmed/,C,Journal,人工智能
466,AL,Artificial Life,MIT Press,http://dblp.uni-trier.de/db/journals/alife/,C,Journal,人工智能
467,CI,Computational Intelligence,Wiley,http://dblp.uni-trier.de/db/journals/ci/,C,Journal,人工智能
468,CSAL,Computer Speech and Language,Elsevier,http://dblp.uni-trier.de/db/journals/csl/,C,Journal,人工智能
469,CS,Connection Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/connection/,C,Journal,人工智能
470,DSS,Decision Support Systems,Elsevier,http://dblp.uni-trier.de/db/journals/dss/,C,Journal,人工智能
471,EAAI,Engineering Applications of Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/eaai/,C,Journal,人工智能
472,ES,Expert Systems,Blackwell /Wiley,http://dblp.uni-trier.de/db/journals/es/,C,Journal,人工智能
473,ESWA,Expert Systems with Applications,Elsevier,http://dblp.uni-trier.de/db/journals/eswa/,C,Journal,人工智能
474,FSAS,Fuzzy Sets and Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fss/,C,Journal,人工智能
475,TG,IEEE Transactions on Games,IEEE,http://dblp.uni-trier.de/db/journals/tciaig/,C,Journal,人工智能
476,IET-CVI,IET Computer Vision,IET,http://digital-library.theiet.org/content/journals/iet-cvi,C,Journal,人工智能
477,ISP,IET Signal Processing,IET,http://digital-library.theiet.org/content/journals/iet-spr,C,Journal,人工智能
478,IVC,Image and Vision Computing,Elsevier,http://dblp.uni-trier.de/db/journals/ivc/,C,Journal,人工智能
479,IDA,Intelligent Data Analysis,Elsevier,http://dblp.uni-trier.de/db/journals/ida/,C,Journal,人工智能
480,IJCIA,International Journal of Computational Intelligence and Applications,World Scientific,http://dblp.uni-trier.de/db/journals/ijcia/,C,Journal,人工智能
481,IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/,C,Journal,人工智能
482,IJNS,International Journal of Neural Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijns/,C,Journal,人工智能
483,IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,World Scientific,http://dblp.uni-trier.de/db/journals/ijprai/,C,Journal,人工智能
484,IJUFKS,"International Journal of Uncertainty, Fuzziness and Knowledge-Based System",World Scientific,https://dblp.uni-trier.de/db/journals/ijufks/,C,Journal,人工智能
485,IJDAR,International Journal on Document Analysis and Recognition,Springer,http://dblp.uni-trier.de/db/journals/ijdar/,C,Journal,人工智能
486,JETAI,Journal of Experimental and Theoretical Artificial Intelligence,Taylor & Francis,http://dblp.uni-trier.de/db/journals/jetai/,C,Journal,人工智能
487,KBS,Knowledge-Based Systems,Elsevier,http://dblp.uni-trier.de/db/journals/kbs/,C,Journal,人工智能
488,MT,Machine Translation,Springer,http://dblp.uni-trier.de/db/journals/mt/,C,Journal,人工智能
489,MVAA,Machine Vision and Applications,Springer,http://dblp.uni-trier.de/db/journals/mva/,C,Journal,人工智能
490,NC,Natural Computing,Springer,http://dblp.uni-trier.de/db/journals/nc/,C,Journal,人工智能
491,NLE,Natural Language Engineering,Cambridge University,http://dblp.uni-trier.de/db/journals/nle/,C,Journal,人工智能
492,NCA,Neural Computing & Applications,Springer,http://dblp.uni-trier.de/db/journals/nca/,C,Journal,人工智能
493,NPL,Neural Processing Letters,Springer,http://dblp.uni-trier.de/db/journals/npl/,C,Journal,人工智能
494,N,Neurocomputing,Elsevier,http://dblp.uni-trier.de/db/journals/ijon/,C,Journal,人工智能
495,PAA,Pattern Analysis and Applications,Springer,http://dblp.uni-trier.de/db/journals/paa/,C,Journal,人工智能
496,PRL,Pattern Recognition Letters,Elsevier,http://dblp.uni-trier.de/db/journals/prl/,C,Journal,人工智能
497,SC,Soft Computing,Springer,http://dblp.uni-trier.de/db/journals/soco/,C,Journal,人工智能
498,WI,Web Intelligence,IOS Press,http://dblp.uni-trier.de/db/journals/wias/,C,Journal,人工智能
499,AAAI,AAAI Conference on Artificial Intelligence,AAAI,http://dblp.uni-trier.de/db/conf/aaai/,A,Conference,人工智能
500,NeurIPS,Annual Conference on Neural Information Processing Systems,MIT Press,http://dblp.uni-trier.de/db/conf/nips/,A,Conference,人工智能
501,ACL,Annual Meeting of the Association for Computational Linguistics,ACL,http://dblp.uni-trier.de/db/conf/acl/,A,Conference,人工智能
502,CVPR,IEEE Conference on Computer Vision and Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/cvpr/,A,Conference,人工智能
503,ICCV,International Conference on Computer Vision,IEEE,http://dblp.uni-trier.de/db/conf/iccv/,A,Conference,人工智能
504,ICML,International Conference on Machine Learning,ACM,http://dblp.uni-trier.de/db/conf/icml/,A,Conference,人工智能
505,IJCAI,International Joint Conference on Artificial Intelligence,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/ijcai/,A,Conference,人工智能
506,COLT,Annual Conference on Computational Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/colt/,B,Conference,人工智能
507,EMNLP,Conference on Empirical Methods in Natural Language Processing,ACL,http://dblp.uni-trier.de/db/conf/emnlp/,B,Conference,人工智能
508,ECAI,European Conference on Artificial Intelligence,IOS Press,http://dblp.uni-trier.de/db/conf/ecai/,B,Conference,人工智能
509,ECCV,European Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/eccv/,B,Conference,人工智能
510,ICRA,IEEE International Conference on Robotics and Automation,IEEE,http://dblp.uni-trier.de/db/conf/icra/,B,Conference,人工智能
511,ICAPS,International Conference on Automated Planning and Scheduling,AAAI,http://dblp.uni-trier.de/db/conf/aips/,B,Conference,人工智能
